0.001660,1.902873,-0.509874,1.000000
0.001898,1.812328,-0.418409,4.000000
0.023724,16.991953,-3.302904,5.000000
0.036240,20.765127,-3.288878,25.000000
0.008227,1.885469,-0.505215,1.000000
0.008420,1.786975,-0.412560,9.000000
0.082773,16.936794,-3.292219,5.000000
0.108347,20.693764,-3.277615,25.000000
0.014170,1.804294,-0.483474,1.000000
0.014065,1.751861,-0.404462,4.000000
0.141569,16.899101,-3.284968,5.000000
0.176266,20.610329,-3.264475,20.000000
0.019507,1.746285,-0.467945,1.000000
0.020136,1.747904,-0.403562,1.000000
0.196854,16.833757,-3.272375,5.000000
0.247595,20.558231,-3.256340,19.000000
0.025651,1.708853,-0.394564,1.000000
0.255559,16.829039,-3.271611,33.000000
0.318390,20.496012,-3.246641,19.000000
0.030576,1.684297,-0.451380,1.000000
0.030967,1.673681,-0.386466,1.000000
0.313536,16.786823,-3.263597,39.000000
0.388623,20.425652,-3.235691,19.000000
0.035493,1.639758,-0.439475,3.000000
0.036423,1.656029,-0.382417,1.000000
0.371249,16.746372,-3.255965,33.000000
0.458457,20.358997,-3.225366,19.000000
0.040586,1.614518,-0.432745,7.000000
0.041410,1.624722,-0.375218,1.000000
0.428499,16.697872,-3.246806,28.000000
0.527564,20.282236,-3.213477,19.000000
0.045834,1.600849,-0.429122,8.000000
0.047751,1.657690,-0.382867,1.000000
0.485863,16.664875,-3.240700,38.000000
0.593136,20.223114,-3.204404,19.000000
0.051081,1.598757,-0.428604,5.000000
0.454218,14.062571,-3.248293,2.000000
0.539726,16.620003,-3.232305,38.000000
0.662304,20.177483,-3.197521,19.000000
0.055292,1.559957,-0.418252,2.000000
0.502463,14.037530,-3.242895,4.000000
0.595970,16.568970,-3.222764,27.000000
0.730004,20.100035,-3.185632,19.000000
0.060887,1.563615,-0.419287,1.000000
0.549398,13.983114,-3.230747,7.000000
0.652096,16.523628,-3.214369,33.000000
0.797023,20.018412,-3.173117,18.000000
